作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
000750,英語対訳版草木塔抄他／Fire on the Mountain,えいごたいやくばんそうもくとうしょうほか／ファイア　オン　ザ　マウンテン,えいこたいやくはんそうもくとうしようほかふあいあおんさまうんてん,,,,,NDC 911,新字旧仮名,あり,1998-05-18,2015-08-16,https://www.aozora.gr.jp/cards/000146/card750.html,000146,種田,山頭火,たねだ,さんとうか,たねた,さんとうか,Taneda,Santoka,著者,1882-12-03,1940-10-11,なし,山頭火句集,ちくま文庫、筑摩書房,,,,山頭火全集,春陽堂書店,,山頭火文庫・句集四,春陽堂書店,,,,,,,浜野安紀子、浜野智,,http://www.lcv.ne.jp/~ibs52086/fire.zip,2015-08-16,ShiftJIS,JIS X 0208,3,http://www.lcv.ne.jp/~ibs52086/fire/,2015-08-16,UTF-8,JIS X 0208,3
000537,魔法のおなべ,まほうのおなべ,まほうのおなへ,,,The Magic Cauldron,,NDC 007,新字新仮名,あり,1999-10-08,2014-09-17,https://www.aozora.gr.jp/cards/000029/card537.html,000101,田宮,まや,たみや,まや,たみや,まや,Tamiya,Maya,翻訳者,,,あり,,,,,,,,,,,,,,,,,山形浩生,,,,,,,http://cruel.org/freeware/magicpot.html,1999-10-08,ShiftJIS,JIS X 0208,0
000394,いないないヴァーチャる,いないないヴァーチャる,いないないうああちやる,,,,,NDC 913,新字新仮名,あり,1998-09-12,2014-09-17,https://www.aozora.gr.jp/cards/000066/card394.html,000066,束原,和多志,つかはら,わたし,つかはら,わたし,Tsukahara,Watashi,著者,,,あり,,,,,,,,,,,,,,,,,束原和多志,,,,,,,,,,,
000611,小さなメディアの必要,ちいさなメディアのひつよう,ちいさなめていあのひつよう,,,,,NDC 023,新字新仮名,あり,1997-10-07,2014-09-17,https://www.aozora.gr.jp/cards/000117/card611.html,000117,津野,海太郎,つの,かいたろう,つの,かいたろう,Tsuno,Kaitaro,著者,1938-04-06,,あり,小さなメディアの必要,晶文社,1981（昭和56）年3月25日,,,,,,,,,,,,,,八巻美恵、萩野正昭,,http://attic.neophilia.co.jp/aozora/zipfiles/mymediax.zip,1997-10-07,ShiftJIS,JIS X 0208,0,,,,,
003392,悪魔の足,あくまのあし,あくまのあし,,,THE ADVENTURE OF THE DEVIL'S FOOT,,NDC K933,新字新仮名,あり,2001-06-12,2014-09-17,https://www.aozora.gr.jp/cards/000009/card3392.html,000009,ドイル,アーサー・コナン,ドイル,アーサー・コナン,といる,ああさあこなん,Doyle,Arthur Conan,著者,1859-05-22,1930-07-07,なし,"""His Last Bow""所収 ""The Adventure of the Devils Foot""",,,,,,,,,,,,,,,,枯葉,,"http://www1.bbiq.jp/kareha/trans/txt/devils_foot,_the.zip",2012-07-27,ShiftJIS,JIS X 0208,3,"http://www1.bbiq.jp/kareha/trans/html/devils_foot,_the.html",2012-07-27,ShiftJIS,JIS X 0208,2
003393,チャールズ・オーガスタス・ミルヴァートン,チャールズ・オーガスタス・ミルヴァートン,ちやあるすおおかすたすみるうああとん,,,THE ADVENTUER OF CHARLES AUGUSTUS MILVERTON,,NDC K933,新字新仮名,あり,2001-06-12,2014-09-17,https://www.aozora.gr.jp/cards/000009/card3393.html,000009,ドイル,アーサー・コナン,ドイル,アーサー・コナン,といる,ああさあこなん,Doyle,Arthur Conan,著者,1859-05-22,1930-07-07,なし,"""The Return of Sherlock Holmes""所収 ""The Adventure of Charles Augustus Milverton""",,,,,,,,,,,,,,,,枯葉,,http://www1.bbiq.jp/kareha/trans/txt/charles_augustus_milverton.zip,2012-07-27,ShiftJIS,JIS X 0208,2,http://www1.bbiq.jp/kareha/trans/html/charles_augustus_milverton.html,2012-07-27,ShiftJIS,JIS X 0208,2
003394,ノーウッドの建築家,ノーウッドのけんちくか,のおうつとのけんちくか,,,THE ADVENTURE OF THE NORWOOD BUILDER,,NDC K933,新字新仮名,あり,2001-06-12,2014-09-17,https://www.aozora.gr.jp/cards/000009/card3394.html,000009,ドイル,アーサー・コナン,ドイル,アーサー・コナン,といる,ああさあこなん,Doyle,Arthur Conan,著者,1859-05-22,1930-07-07,なし,"""The Return of Sherlock Holmes""所収 ""The Adventure of the Norwood Builder""",,,,,,,,,,,,,,,,枯葉,,"http://www1.bbiq.jp/kareha/trans/txt/norwood_builder,_the.zip",2012-07-27,ShiftJIS,JIS X 0208,2,"http://www1.bbiq.jp/kareha/trans/html/norwood_builder,_the.html",2012-07-27,ShiftJIS,JIS X 0208,2
003395,ブルー・カーバンクル,ブルー・カーバンクル,ふるうかあはんくる,,,THE ADVENTURE OF THE BLUE CARBUNCLE,,NDC K933,新字新仮名,あり,2001-06-12,2014-09-17,https://www.aozora.gr.jp/cards/000009/card3395.html,000009,ドイル,アーサー・コナン,ドイル,アーサー・コナン,といる,ああさあこなん,Doyle,Arthur Conan,著者,1859-05-22,1930-07-07,なし,"""The Adventure of Sherlock Holmes""所収 ""The Adventure of the Blue Carbuncle""",,,,,,,,,,,,,,,,枯葉,,"http://www1.bbiq.jp/kareha/trans/txt/blue_carbuncle,_the.zip",2012-07-27,ShiftJIS,JIS X 0208,3,"http://www1.bbiq.jp/kareha/trans/html/blue_carbuncle,_the.html",2012-07-27,ShiftJIS,JIS X 0208,3
000535,まだらの紐をめぐる冒険,まだらのひもをめぐるぼうけん,またらのひもをめくるほうけん,,,The Adventure of the Speckled Band,,NDC K933,新字新仮名,あり,2000-03-02,2014-09-17,https://www.aozora.gr.jp/cards/000009/card535.html,000009,ドイル,アーサー・コナン,ドイル,アーサー・コナン,といる,ああさあこなん,Doyle,Arthur Conan,著者,1859-05-22,1930-07-07,なし,,,,,,,,,,,,,,,,,,,,,,,,http://cosmoshouse.com/works/speckled/madara.htm,2009-11-28,ShiftJIS,JIS X 0208,2
000338,最後の、そして始まりのエデン,さいごの、そしてはじまりのエデン,さいこのそしてはしまりのえてん,,,,,NDC 913,新字新仮名,あり,1997-10-08,2014-09-17,https://www.aozora.gr.jp/cards/000041/card338.html,000041,徳永,真一,とくなが,しんいち,とくなか,しんいち,Tokunaga,Shin'ichi,著者,1973,,あり,,,,,,,,,,,,,,,,,徳永真一,,,,,,,http://www.k4.dion.ne.jp/~ton/novel/ed/index.html,2005-08-31,ShiftJIS,JIS X 0208,1
000355,イギリス観光旅行,イギリスかんこうりょこう,いきりすかんこうりよこう,,,,,NDC 911,新字新仮名,あり,1998-02-04,2014-09-17,https://www.aozora.gr.jp/cards/000047/card355.html,000047,長尾,高弘,ながお,たかひろ,なかお,たかひろ,Nagao,Takahiro,著者,1960,,あり,イギリス観光旅行,昧爽社,1996年10月30日,,,,,,,,,,,,,,長尾高弘,,,,,,,http://www.longtail.co.jp/eng/,1998-02-04,ShiftJIS,JIS X 0208,0
000826,天国と地獄の結婚,てんごくとじごくのけっこん,てんこくとしこくのけつこん,,,The Marriage of Heaven and Hell,,NDC 931,新字新仮名,あり,1998-02-04,2014-09-17,https://www.aozora.gr.jp/cards/000115/card826.html,000047,長尾,高弘,ながお,たかひろ,なかお,たかひろ,Nagao,Takahiro,翻訳者,1960,,あり,オンラインオリジナル,,,,,"The Complete Poetry & Prose of William Blake<BR>Ed. David V. Erdman, 1988",,,,,,,,,,,長尾高弘,,,,,,,http://www.longtail.co.jp/mhh/,1998-02-04,ShiftJIS,JIS X 0208,0
000612,長い夢,ながいゆめ,なかいゆめ,,,,,NDC 911,新字新仮名,あり,1998-02-04,2014-09-17,https://www.aozora.gr.jp/cards/000047/card612.html,000047,長尾,高弘,ながお,たかひろ,なかお,たかひろ,Nagao,Takahiro,著者,1960,,あり,長い夢,昧爽社,1995（平成7）年7月15日,,,,,,,,,,,,,,長尾高弘,,,,,,,http://www.longtail.co.jp/ld/,1998-02-04,ShiftJIS,JIS X 0208,0
000609,無垢と経験のうた,むくとけいけんのうた,むくとけいけんのうた,,,,,NDC 931,新字新仮名,あり,1998-02-04,2014-09-17,https://www.aozora.gr.jp/cards/000115/card609.html,000047,長尾,高弘,ながお,たかひろ,なかお,たかひろ,Nagao,Takahiro,翻訳者,1960,,あり,オンラインオリジナル,,,,,"The Complete Poetry & Prose of William Blake <BR>Ed. David V. Erdman, 1988",,,,,,,,,,,長尾高弘,,,,,,,http://www.longtail.co.jp/sise/,1998-02-04,ShiftJIS,JIS X 0208,0
000803,砂の惑星,すなのわくせい,すなのわくせい,,,,,NDC 913,新字新仮名,あり,1998-02-06,2014-09-17,https://www.aozora.gr.jp/cards/000062/card803.html,000062,西川,光男,にしかわ,みつお,にしかわ,みつお,Nishikawa,Mitsuo,著者,,,あり,,,,,,,,,,,,,,,,,西川光男,,,,,,,,,,,
000381,メガネをかけたフクロウ君,メガネをかけたフクロウくん,めかねをかけたふくろうくん,,,,,NDC 913,新字新仮名,あり,1998-02-23,2014-09-17,https://www.aozora.gr.jp/cards/000062/card381.html,000062,西川,光男,にしかわ,みつお,にしかわ,みつお,Nishikawa,Mitsuo,著者,,,あり,,,,,,,,,,,,,,,,,西川光男,,,,,,,,,,,
000860,著作権法,ちょさくけんほう,ちよさくけんほう,,,,,NDC 021,新字新仮名,なし,1997-12-02,2014-09-17,https://www.aozora.gr.jp/cards/001528/card860.html,001528,日本国,,にほんこく,,にほんこく,,Nihonkoku,,著者,,,なし,,,,,,,,,,,,,,,,,田川諭,,,,,,,http://www.ron.gr.jp/law/law/chosaku.htm,1997-12-02,ShiftJIS,JIS X 0208,0
002258,お日様のあるうちに,おひさまのあるうちに,おひさまのあるうちに,,,While the Sun Shines,,NDC 932,新字新仮名,あり,1999-06-07,2014-09-17,https://www.aozora.gr.jp/cards/000336/card2258.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-06-07,ShiftJIS,JIS X 0208,0
000520,侯爵夫人,こうしゃくふじん,こうしやくふしん,,,The Marquise,,NDC 932,新字新仮名,あり,1999-03-12,2014-09-17,https://www.aozora.gr.jp/cards/000223/card520.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-03-12,ShiftJIS,JIS X 0208,0,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-03-12,ShiftJIS,JIS X 0208,0
002260,蠱惑草,こわくそう,こわくそう,,,Love in Idleness,,NDC 932,新字新仮名,あり,1999-06-12,2014-09-17,https://www.aozora.gr.jp/cards/000336/card2260.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-06-12,ShiftJIS,JIS X 0208,0
000944,ザディッグ　又は　宿命,ザディッグ　または　しゅくめい,さていつくまたはしゆくめい,,,,,NDC 953,新字新仮名,あり,1998-08-06,2014-09-17,https://www.aozora.gr.jp/cards/000180/card944.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,http://www.01.246.ne.jp/~tnoumi/noumi1/etc.html,1998-08-06,ShiftJIS,JIS X 0208,0,http://www.01.246.ne.jp/~tnoumi/noumi1/etc.html,1998-08-06,ShiftJIS,JIS X 0208,0
002268,シルヴィアって誰？,シルヴィアってだれ？,しるういあつてたれ,,,,,NDC 932,新字新仮名,あり,1999-06-19,2014-09-17,https://www.aozora.gr.jp/cards/000336/card2268.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-06-19,ShiftJIS,JIS X 0208,0
003502,真実は銘々に,しんじつはめいめいに,しんしつはめいめいに,,,Cosi e  (se vi pare),,NDC 972,新字新仮名,あり,2001-07-05,2014-09-17,https://www.aozora.gr.jp/cards/000887/card3502.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/ita.html,2001-07-05,ShiftJIS,JIS X 0208,0
002283,椿姫,つばきひめ,つはきひめ,,,Variation on a Theme,,NDC 932,新字新仮名,あり,1999-08-19,2014-09-17,https://www.aozora.gr.jp/cards/000336/card2283.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-08-19,ShiftJIS,JIS X 0208,0
002286,涙なしのフランス語,なみだなしのフランスご,なみたなしのふらんすこ,,,French without Tears,,NDC 932,新字新仮名,あり,1999-05-20,2014-09-17,https://www.aozora.gr.jp/cards/000336/card2286.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-05-20,ShiftJIS,JIS X 0208,0
002287,眠りの森の王子,ねむりのもりのおうじ,ねむりのもりのおうし,,,The Sleeping Prince,,NDC 932,新字新仮名,あり,1999-07-07,2014-09-17,https://www.aozora.gr.jp/cards/000336/card2287.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-07-07,ShiftJIS,JIS X 0208,0
000368,裸の王様,はだかのおおさま,はたかのおおさま,,,Golyi Korol,,NDC 982,新字新仮名,あり,2000-07-21,2014-09-17,https://www.aozora.gr.jp/cards/000210/card368.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/rus.html,2000-07-21,ShiftJIS,JIS X 0208,0
002290,深く青い海,ふかくあおいうみ,ふかくあおいうみ,,,Deep Blue Sea,,NDC 932,新字新仮名,あり,1999-06-25,2014-09-17,https://www.aozora.gr.jp/cards/000336/card2290.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-06-25,ShiftJIS,JIS X 0208,0
002291,炎の道,ほのおのみち,ほのおのみち,,,Flare Path,,NDC 932,新字新仮名,あり,1999-05-27,2014-09-17,https://www.aozora.gr.jp/cards/000336/card2291.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-05-27,ShiftJIS,JIS X 0208,0
002293,銘々のテーブル,めいめいのテーブル,めいめいのてえふる,,,The Separate Tables,,NDC 932,新字新仮名,あり,1999-07-21,2014-09-17,https://www.aozora.gr.jp/cards/000336/card2293.html,000181,能美,武功,のうみ,たけのり,のうみ,たけのり,Nomi,Takenori,翻訳者,,,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/eng.html,1999-07-21,ShiftJIS,JIS X 0208,0
000672,落窪物語,おちくぼものがたり,おちくほものかたり,,,,,NDC 913,新字新仮名,あり,1998-10-06,2014-09-17,https://www.aozora.gr.jp/cards/001529/card672.html,000128,長谷,悟,はせ,さとる,はせ,さとる,Hase,Satoru,翻訳者,,,あり,,,,,,,,,,,,,,,,,長谷悟,,http://www.geocities.jp/hase5732/index.html,2006-11-29,ShiftJIS,JIS X 0208,1,,,,,
000347,易経,えききょう,えききよう,,,,,NDC 123 148,その他,あり,1997-09-03,2014-09-17,https://www.aozora.gr.jp/cards/000088/card347.html,000088,長谷川,集平,はせがわ,しゅうへい,はせかわ,しゆうへい,Hasegawa,Shuhei,著者,1955,,あり,江戸明治期の木版本,,,,,中国古典,,,,,,,,,,,師尾潤、長谷川集平,,,,,,,,,,,
000516,こんちりさんのりやく,こんちりさんのりやく,こんちりさんのりやく,,,,,NDC 198,新字新仮名,あり,1997-09-03,2014-09-17,https://www.aozora.gr.jp/cards/000088/card516.html,000088,長谷川,集平,はせがわ,しゅうへい,はせかわ,しゆうへい,Hasegawa,Shuhei,著者,1955,,あり,,,,,,長崎大司教館所蔵,,,,,,,,,,,長谷川集平,,,,,,,,,,,
000516,こんちりさんのりやく,こんちりさんのりやく,こんちりさんのりやく,,,,,NDC 198,新字新仮名,あり,1997-09-03,2014-09-17,https://www.aozora.gr.jp/cards/000088/card516.html,000088,長谷川,集平,はせがわ,しゅうへい,はせかわ,しゆうへい,Hasegawa,Shuhei,翻訳者,1955,,あり,,,,,,長崎大司教館所蔵,,,,,,,,,,,長谷川集平,,,,,,,,,,,
000704,サブの馬鹿,サブのばか,さふのはか,,,,,NDC 913,新字新仮名,あり,1997-09-03,2014-09-17,https://www.aozora.gr.jp/cards/000088/card704.html,000088,長谷川,集平,はせがわ,しゅうへい,はせかわ,しゆうへい,Hasegawa,Shuhei,著者,1955,,あり,,,,,,,,,,,,,,,,,長谷川集平,,,,,,,,,,,
000734,長崎絵本セミナリヨ七ヶ条,ながさきえほんセミナリヨななかじょう,なかさきえほんせみなりよななかしよう,,,,,NDC 913,新字新仮名,あり,1997-09-03,2014-09-17,https://www.aozora.gr.jp/cards/000088/card734.html,000088,長谷川,集平,はせがわ,しゅうへい,はせかわ,しゆうへい,Hasegawa,Shuhei,著者,1955,,あり,,,,,,,,,,,,,,,,,長谷川集平,,,,,,,,,,,
000910,夜の三角形,よるのさんかくけい,よるのさんかくけい,,,,,NDC K913,新字新仮名,あり,1998-03-07,2014-09-17,https://www.aozora.gr.jp/cards/000088/card910.html,000088,長谷川,集平,はせがわ,しゅうへい,はせかわ,しゆうへい,Hasegawa,Shuhei,著者,1955,,あり,夜の三角形,理論社,1984（昭和59）年,,,,,,,,,,,,,,曽我祐未,,,,,,,,,,,
000747,スレイヴ,スレイヴ,すれいう,パソコン音痴のカメイ課長が電脳作家になる物語,パソコンおんちのカメイかちょうがでんのうさっかになるものがたり,,,NDC 913,新字新仮名,あり,1998-08-22,2018-07-07,https://www.aozora.gr.jp/cards/000144/card747.html,000144,畑仲,哲雄,はたなか,てつお,はたなか,てつお,Hatanaka,Tetsuo,著者,1961-09,,あり,,,,,,,,,,,,,,,,,畑仲哲雄,,http://hata.la.coocan.jp/slave/,2018-07-07,ShiftJIS,JIS X 0208,2,http://hata.la.coocan.jp/slave/,2018-07-07,ShiftJIS,JIS X 0208,2
055304,ガルシアへの手紙,ガルシアへのてがみ,かるしあへのてかみ,,,A MESSAGE TO GARCIA,,NDC 159,新字新仮名,あり,2012-07-01,2022-02-10,https://www.aozora.gr.jp/cards/001725/card55304.html,001725,ハバード,エルバート,ハバード,エルバート,ははあと,えるはあと,Hubbard,Elbert,著者,1856-06-19,1915-05-07,なし,,,,,,,,,,,,,,,,,,,http://www.e-freetext.net/garcia.txt,2012-06-15,ShiftJIS,JIS X 0208,0,http://e-freetext.net/garcia/,2022-02-10,UTF-8,Unicode,1
057878,通貨改革,つうかかいかく,つうかかいかく,アイスランドのためのより優れた通貨制度,アイスランドのためのよりすぐれたつうかせいど,Monetary Reform - A Better Monetary System for Iceland,,NDC 337,新字新仮名,あり,2016-07-22,2016-06-07,https://www.aozora.gr.jp/cards/001877/card57878.html,001878,早川,健治,はやかわ,けんじ,はやかわ,けんし,Hayakawa,Kenji,翻訳者,1989,,あり,,,,,,,,,,,,,,,,,早川健治,,,,,,,,,,,
000604,十八歳のモノローグ,じゅうはっさいのモノローグ,しゆうはつさいのものろおく,,,,,NDC 913,新字新仮名,あり,2000-06-26,2014-09-17,https://www.aozora.gr.jp/cards/000028/card604.html,000028,早見,秋,はやみ,あき,はやみ,あき,Hayami,Aki,著者,1969,,あり,レズビアン・ライフ,海越出版社,1999（平成11）年6月8日,,,,,,,,,,,,,,早見秋,,http://www3.ocn.ne.jp/~hayami4/mono.TXT,2000-06-26,ShiftJIS,JIS X 0208,0,http://www3.ocn.ne.jp/~hayami4/mono.htm,2000-06-26,ShiftJIS,JIS X 0208,0
000800,装飾の性,そうしょくのせい,そうしよくのせい,,,,,NDC 913,新字新仮名,あり,2000-06-26,2014-09-17,https://www.aozora.gr.jp/cards/000028/card800.html,000028,早見,秋,はやみ,あき,はやみ,あき,Hayami,Aki,著者,1969,,あり,装飾の性,近代文藝社,1995（平成7）年4月20日,,,,,,,,,,,,,,早見秋,,http://www3.ocn.ne.jp/~hayami4/soushoku.TXT,2000-06-26,ShiftJIS,JIS X 0208,0,http://www3.ocn.ne.jp/~hayami4/soushoku.htm,2000-06-26,ShiftJIS,JIS X 0208,0
000225,レズビアン・ライフ,レズビアン・ライフ,れすひあんらいふ,,,,,NDC 913,新字新仮名,あり,2000-06-26,2014-09-17,https://www.aozora.gr.jp/cards/000028/card225.html,000028,早見,秋,はやみ,あき,はやみ,あき,Hayami,Aki,著者,1969,,あり,レズビアン・ライフ,海越出版社,1999（平成11）年6月8日,,,,,,,,,,,,,,早見秋,,http://www3.ocn.ne.jp/~hayami4/bianlife.TXT,2000-06-26,ShiftJIS,JIS X 0208,0,http://www3.ocn.ne.jp/~hayami4/bianlife.htm,2000-06-26,ShiftJIS,JIS X 0208,0
000971,山上冬芽,さんじょうとうが,さんしようとうか,,,,,NDC 911,新字新仮名,あり,1997-10-28,2014-09-17,https://www.aozora.gr.jp/cards/000193/card971.html,000193,久森,謙二,ひさもり,けんじ,ひさもり,けんし,Hisamori,Kenji,著者,1940-08-09,,あり,,,,,,,,,,,,,,,,,久森謙二,,,,,,,,,,,
000735,選挙のユーザー インターフェイス,せんきょのユーザー インターフェイス,せんきよのゆうさあいんたあふえいす,,,,,NDC 314,新字新仮名,あり,1998-01-19,2014-09-17,https://www.aozora.gr.jp/cards/000138/card735.html,000138,翡翠,,ひすい,,ひすい,,Hisui,,著者,,,あり,,,,,,,,,,,,,,,,,翡翠,,,,,,,,,,,
000366,漁民解体,ぎょみんかいたい,きよみんかいたい,岩内郡漁協と原発計画,いわないぐんぎょきょうとげんぱつけいかく,,,NDC 916,新字新仮名,あり,1998-09-05,2014-09-17,https://www.aozora.gr.jp/cards/000056/card366.html,000056,平田,剛士,ひらた,つよし,ひらた,つよし,Hirata,Tsuyoshi,著者,1964,,あり,,,,,,,,,,,,,,,,,平田剛士,,http://attic.neophilia.co.jp/aozora/zipfiles/gyominkaitai.zip,1998-09-05,ShiftJIS,JIS X 0208,0,http://attic.neophilia.co.jp/aozora/htmlban/gyominkaitai.html,1998-09-05,ShiftJIS,JIS X 0208,0
003502,真実は銘々に,しんじつはめいめいに,しんしつはめいめいに,,,Cosi e  (se vi pare),,NDC 972,新字新仮名,あり,2001-07-05,2014-09-17,https://www.aozora.gr.jp/cards/000887/card3502.html,000887,ピランデルロ,ルイジ,ピランデルロ,ルイジ,ひらんてるろ,るいし,Pirandello,Luigi,著者,1867-06-28,1936-12-10,なし,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/ita.html,2001-07-05,ShiftJIS,JIS X 0208,0
